No.	Word	Valence_Mean	Valence_SD	Arousal_Mean	Arousal_SD	Frequency
4517	有口無心	4.1	0.742	3.5	1.414	0
4522	尋仇	2.9	0.742	7.6	0.548	0
4529	急忙	3.9	0.742	7.9	1.025	45
4530	急急忙忙	3.9	0.742	7.9	1.025	6
4543	誤入歧途	2.9	0.742	5.4	1.14	9
4550	凹下	4.1	0.742	3.6	1.475	4
4558	憤世嫉俗	2.1	0.742	7.7	0.447	0
4559	惴惴不安	3.1	0.742	7.1	0.894	0
4583	弄糟	3.1	0.742	4.2	1.643	0
4617	打顫	4.1	0.742	3.4	1.517	6
4622	欺凌	1.9	0.742	6.8	1.304	17
4710	亂哄哄	3.9	0.742	7.1	1.517	0
4747	受限	3.9	0.742	3.1	1.245	39
4806	琳瑯滿目	6.1	0.742	4.8	1.681	18
4822	銷聲匿跡	4.1	0.742	2	0.707	7
4979	低劣	2.1	0.742	4.3	1.789	17
4996	作廢	3.9	0.742	4.1	1.949	8
5004	挨打	2.9	0.742	6.4	2.191	13
5013	慚不慚愧	3.9	0.742	4.1	2.012	0
5020	大哭	3.1	0.742	7.7	0.837	50
5054	赤貧	3.9	0.742	3.4	1.517	4
5055	赤貧者	3.9	0.742	3.4	1.517	0
5073	裝模做樣	3.1	0.742	3.3	1.095	0
5078	菜鳥	4.1	0.742	2.6	1.517	4
5094	由愛生恨	3.9	0.742	5.5	2.55	0
5125	目中無人	2.9	0.742	4.6	2.608	5
5148	爛爆	1.9	0.742	6.2	1.304	0
5155	窮光蛋	1.9	0.742	3.4	2.702	7
5209	退避	4.1	0.742	3.2	1.924	0
5210	惱火	3.1	0.742	6.5	1.414	7
5236	酒鬼	3.1	0.742	4.4	0.894	15
5245	剽竊	2.9	0.742	5	1.225	6
5259	恣意妄為	2.9	0.742	5.8	1.095	0
5314	杜絕	5.1	0.742	3.8	1.304	32
5361	眩光	3.9	0.742	3.1	0.742	0
5366	不忠	2.9	0.742	4.2	1.643	0
5375	短淺	4.1	0.742	2.6	1.084	4
5421	矯揉造作	3.9	0.742	3.6	1.71	0
5426	殘疾	4.1	0.742	3	1.225	5
2879	不予置評	4.4	0.735	2.8	0.51	9
3110	何必	4.4	0.735	4.3	1.077	118
3150	不值	3.6	0.735	6.2	1.122	19
3236	勤勉	6.6	0.735	4.4	0.49	10
3277	擔待	6.4	0.735	4.6	1.497	0
3291	夢魘	2.1	0.735	6.9	1.2	33
3294	困難重重	2.1	0.735	6.9	0.49	10
3317	束縛	3.6	0.735	4.7	1.536	63
3370	幼稚	3.4	0.735	3.9	1.562	33
3391	報答	6.4	0.735	4.9	1.428	29
3448	堅韌	6.1	0.735	4.4	0.97	13
3449	臉紅	5.6	0.735	5.2	1.691	15
3473	愜意	6.6	0.735	3.9	1.715	14
3183	窩心	7	0.707	5.4	0.8	9
3289	魔鬼	2	0.707	6.3	1.887	34
3310	騷亂	3	0.707	6	1.817	0
3318	偷工減料	3	0.707	6	1.517	14
3327	追訴	4	0.707	3.8	1.503	0
3340	後退	4	0.707	3.1	1.281	14
3342	虛假	3	0.707	4.2	1.435	17
3361	敲詐	3	0.707	5.1	1.908	0
3398	天籟	7.5	0.707	5.2	0.98	13
3423	純潔	6.5	0.707	2.8	1.364	30
3459	有效率	7	0.707	4.4	1.463	0
3504	物廉價美	7	0.707	4.9	0.8	0
3507	盛年	6	0.707	3.8	1.288	0
3522	古雅	6	0.707	3	1.265	0
3570	斑駁	4	0.707	4	0.935	15
3592	跑不動	4	0.707	5.7	1.396	0
3605	勤快	7	0.707	5.3	1.304	11
3615	欲振乏力	3	0.707	3.8	0.837	8
3639	痠	4	0.707	5	1.414	5
3669	傲人	7	0.707	6.4	1.517	15
3673	稚嫩	5	0.707	3	1.414	8
3774	說不過去	3	0.707	5.1	1.14	7
3779	稱職	8	0.707	3.8	1.304	16
3780	精采	8.5	0.707	7.1	1.597	101
3828	礙手礙腳	2	0.707	5.2	1.44	6
3874	變塌	3	0.707	4.2	0.837	0
3884	超越	6.5	0.707	6.7	0.671	297
3940	精進	7	0.707	6.2	0.837	53
3972	愛惜	6	0.707	4.8	1.605	44
3980	愧對	3	0.707	5.4	1.14	0
3985	變鈍	3.5	0.707	3	0.707	0
4058	口說無憑	3	0.707	4.4	0.962	0
4079	浮誇	4	0.707	6.6	1.14	7
4142	果決	8	0.707	7.3	1.204	4
4165	南轅北轍	3.5	0.707	5.3	1.204	10
4166	天差地遠	3.5	0.707	5.3	1.204	0
4193	成癮	2	0.707	6.5	1.414	14
4215	起勁	7	0.707	7.7	0.837	26
4295	不合	3	0.707	6.7	0.908	36
4363	吵雜	3.5	0.707	7.6	1.294	16
4450	嘈雜	3.5	0.707	7.6	1.294	26
4451	嘈雜聲	3.5	0.707	7.6	1.294	0
4452	吵雜聲	3.5	0.707	7.6	1.294	4
4502	出氣	3.5	0.707	6.6	0.548	9
4526	脫軌	3	0.707	5.9	1.14	0
4531	無邊無際	4.5	0.707	4.6	1.14	4
4578	破銅爛鐵	2	0.707	4.6	1.673	6
4595	污辱	2.5	0.707	5.9	1.245	6
4613	強詞奪理	3	0.707	7.1	1.14	0
4633	醜男	2	0.707	4.2	1.643	0
4634	醜女	2	0.707	4.2	1.643	0
4641	喧嚷	3	0.707	4.9	1.432	0
4651	阿諛	3	0.707	4.2	1.643	7
4660	壓破	4	0.707	4.2	1.643	0
4764	批鬥	3.5	0.707	6	1.541	7
4793	適得其反	3.5	0.707	4.2	1.718	4
4879	傷感情	4	0.707	4.4	1.71	7
4978	暴虐	2	0.707	7.5	1	7
4991	欠錢	3	0.707	4.1	2.012	0
4997	冷冷	4	0.707	3.2	2.08	44
5019	失戀	4	0.707	5.8	2.387	10
5034	不純	3.5	0.707	3.4	2.074	0
5048	白吃白喝	3	0.707	4.2	1.304	0
5060	礙眼	2	0.707	5.4	2.074	6
5067	懶人	3.5	0.707	1.6	0.894	6
5095	滾遠點	3	0.707	7.6	1.14	0
5099	臭美	4	0.707	2.4	1.14	0
5102	鬧劇	4	0.707	2.8	1.095	8
5162	垂涎	5.5	0.707	2.8	1.304	5
5164	罪孽深重	2	0.707	4.6	2.302	0
5177	怒氣沖沖	3.5	0.707	7.2	1.643	6
5180	陰慘	2.5	0.707	3.3	2.387	0
5199	干政	3.5	0.707	5.3	1.396	5
5211	不務正業	3	0.707	4.8	1.643	6
5307	老態龍鍾	4.5	0.707	2.4	1.673	5
5362	半死	2.5	0.707	4.5	1.5	10
5378	仗著	4	0.707	3.7	1.718	4
5502	嬌貴	6	0.707	3	1.225	0
5504	皺裂	2	0.707	5.5	0.866	0
2837	不理	4.2	0.678	3.1	1.625	23
3048	驅散	3.8	0.678	5.2	0.748	0
3058	沒辦法	4.2	0.678	4.4	1.744	140
3104	捏造	3.7	0.678	5.8	0.678	10
3218	會心	6.2	0.678	4.8	0.4	0
3222	照耀	5.8	0.678	4.9	0.8	13
3272	平心	5.8	0.678	3.4	1.02	0
3286	遊街	4.2	0.678	3.8	1.6	0
3300	衝出	5.8	0.678	5.2	2.064	18
3353	阻隔	4.2	0.678	3.5	1.732	39
3364	內鬥	2.7	0.678	5.4	1.985	0
3420	心平氣和	5.7	0.678	3	1.643	32
3425	自由自在	6.8	0.678	5.3	1.249	40
3440	心想事成	7.7	0.678	5.9	1.744	9
3484	你儂我儂	6.8	0.678	6.2	1.077	0
3493	言歸於好	6.2	0.678	4	0.894	0
3520	一吐為快	5.7	0.678	6.4	0.583	0
3526	心花怒放	7.2	0.678	7.2	0.927	0
3536	抹煞	3.8	0.678	5.9	1.068	15
4409	沒法	4.2	0.678	4.4	1.744	23
4410	沒法子	4.2	0.678	4.4	1.744	12
4411	沒法兒	4.2	0.678	4.4	1.744	0
3627	勞民傷財	2.7	0.671	5.5	1.414	8
3631	得心應手	7.3	0.671	4.9	1.517	25
3662	傷痕累累	2.3	0.671	4	1.414	7
3664	塞車	3.3	0.671	4.4	1.517	45
3788	緊鑼密鼓	5.7	0.671	6.2	1.351	10
3793	膚淺	2.7	0.671	4	1.458	25
3797	厲害	7.3	0.671	7.3	1.037	198
3803	頭暈目眩	3.3	0.671	4.9	1.517	0
3834	癒合	7.3	0.671	3.8	1.304	19
3857	紓解	7.3	0.671	3.5	1.5	80
3867	鄙視	1.7	0.671	4.6	1.342	8
3902	變態	1.7	0.671	8	0.935	15
3918	喜獲	7.3	0.671	7.7	0.671	0
3955	變老	4.3	0.671	3.2	1.304	0
3988	遺忘	3.3	0.671	3.6	1.817	80
4050	相見恨晚	6.3	0.671	6.5	1.414	4
4107	委靡	2.3	0.671	4.4	0.822	0
4120	神清氣爽	7.7	0.671	5.9	1.342	5
4155	自戀	4.3	0.671	4.6	1.517	7
4159	有解	6.7	0.671	4.6	1.517	0
4185	一觸即發	2.7	0.671	7.8	1.095	14
4226	略遜	3.8	0.671	4.5	0.935	0
4242	物美價廉	7.7	0.671	6	1.696	21
4285	寬裕	7.3	0.671	4.1	1.342	15
4296	不妙	3.2	0.671	6.8	1.525	14
4348	忙碌	5.3	0.671	7.2	1.304	151
4372	沈悶	3.3	0.671	2.2	1.037	10
4373	沉悶	3.3	0.671	2.2	1.037	4
4386	事半功倍	7.3	0.671	5.8	1.095	17
4501	不置可否	4.3	0.671	3.1	1.294	10
4515	圍城	3.3	0.671	4.6	1.517	0
4520	發昏	3.7	0.671	3.6	1.636	0
4540	臭臉	3.3	0.671	5.8	0.837	0
4547	吵死	2.3	0.671	8.2	0.57	0
4548	整頓	4.3	0.671	4.3	1.204	72
4560	變酸	3.7	0.671	3.9	1.245	0
4600	賣國賊	1.7	0.671	7.3	1.204	0
4637	催吐	4.3	0.671	5.9	1.673	0
4694	做錯	3.7	0.671	5	1.768	60
4695	做錯事	3.7	0.671	5	1.768	0
4808	惡有惡報	3.7	0.671	6	1.732	4
4811	盡善盡美	7.3	0.671	3.6	2.162	9
4878	禍國殃民	2.7	0.671	5.5	2.092	0
4920	一團糟	3.7	0.671	4.7	2.197	0
4926	拆毀	3.7	0.671	4.9	1.949	10
5000	混濁	3.7	0.671	3.9	1.817	16
5003	倚老賣老	3.3	0.671	4	1.871	0
5113	忿怒	2.3	0.671	7.1	1.949	15
5122	奴性	2.3	0.671	2.8	1.304	0
5137	自以為是	3.3	0.671	4.2	2.168	24
5146	暗淡	3.7	0.671	1.8	0.837	14
5147	黯淡	3.7	0.671	1.8	0.837	16
5184	憎惡	1.7	0.671	7.3	1.483	4
5224	分崩離析	3.3	0.671	5.1	1.673	6
5227	歡躍	7.3	0.671	7.3	1.483	0
5232	不快	3.7	0.671	4.5	1	10
5296	德政	7.3	0.671	4.9	1.597	10
5385	亂吼	3.7	0.671	5.5	1.414	0
5401	豬狗不如	2.3	0.671	5.1	0.822	0
5448	好聞	6.3	0.671	4.3	0.908	0
5495	滑嫩	6.8	0.671	5.3	1.44	0
5497	群芳爭艷	7.3	0.671	6	1	0
5498	嫩滑	6.8	0.671	5.3	1.44	0
2803	竊賊	3.1	0.663	5.2	1.166	17
2829	洩密	3.1	0.663	5.3	1.4	0
2912	誘騙	3.1	0.663	5.4	1.2	0
2968	柔情	5.9	0.663	2.4	0.49	13
2992	肥沃	6.1	0.663	3.7	0.872	23
3000	富麗堂皇	6.1	0.663	4.2	2.135	15
3087	火爆	3.1	0.663	7.9	0.917	13
3127	退場	4.1	0.663	4.4	1.497	0
3128	塞人	4.1	0.663	4.8	2.135	0
3163	被俘	3.1	0.663	5.4	0.8	9
3180	有禮	6.9	0.663	5.4	0.49	14
3212	無懈可擊	7.9	0.663	7.2	1.47	0
3215	學以致用	6.9	0.663	5	1.265	0
3246	豐饒	6.9	0.663	4.7	1.166	9
3264	熟慮	5.9	0.663	5.1	1.02	0
3350	作祟	3.9	0.663	3.7	1.536	31
3359	失手	3.1	0.663	4.9	1.855	17
3389	健壯	6.9	0.663	4.4	1.02	11
3408	不亦樂乎	7.1	0.663	6.9	0.583	17
3467	奮進	7.4	0.663	6.8	1.166	0
3477	可親	5.9	0.663	3.9	1.02	0
3557	有過之而無不及	4.4	0.652	5.5	0.791	8
3640	痠軟	3.4	0.652	4.6	1.475	0
3699	屢見不鮮	3.9	0.652	3	1.275	15
3781	層出不窮	4.4	0.652	6.1	0.894	41
3783	撐不住	2.6	0.652	5.7	1.605	0
3794	賠錢	2.4	0.652	5.8	1.351	23
3801	遺漏	3.6	0.652	3.5	1.414	23
3823	精純	7.9	0.652	3.9	1.245	6
3825	險勝	6.4	0.652	8.1	0.894	23
3921	臭死	1.6	0.652	7.1	1.342	0
3945	難懂	3.4	0.652	4	1.414	11
4075	披頭散髮	3.6	0.652	4.2	0.837	0
4115	氣炸	1.6	0.652	8.8	0.447	0
4228	買不起	3.9	0.652	4.7	1.351	17
4235	為人詬病	3.4	0.652	4.7	1.351	5
4243	物超所值	8.4	0.652	7.2	1.304	5
4254	相符	5.6	0.652	3.4	0.548	17
4258	首屈一指	8.6	0.652	6.9	1.245	14
4261	爽口	6.9	0.652	5	1.369	7
4264	耐操	5.9	0.652	4.3	1.204	0
4272	超酷	7.4	0.652	7	0.707	0
4273	搶手	8.1	0.652	6.8	1.151	14
4369	技壓群雄	8.4	0.652	8.1	0.894	0
4381	走火	2.6	0.652	7.5	1.225	6
4498	狗嘴裡吐不出象牙	2.9	0.652	5.2	0.837	0
4499	狗嘴吐不出象牙	2.9	0.652	5.2	0.837	0
4538	顛倒是非	2.9	0.652	5.9	0.894	0
4688	冒昧	4.6	0.652	2.8	1.643	5
4758	怕死	3.4	0.652	4.9	1.432	21
4820	何苦	4.1	0.652	2.3	0.837	23
4821	何苦來哉	4.1	0.652	2.3	0.837	0
4844	髒話	3.6	0.652	5	1.696	11
4863	責罵	3.9	0.652	6.1	1.673	23
4873	廢話	4.1	0.652	3.7	2.049	22
4880	利用人	3.6	0.652	4.2	1.891	0
4904	屁用	3.6	0.652	5.3	1.44	0
4914	嚇出冷汗	4.1	0.652	6.3	2.11	0
4915	嚇出一身冷汗	4.1	0.652	6.3	2.11	0
5015	自閉	3.6	0.652	2.9	1.673	7
5109	敗退	3.1	0.652	3.4	1.342	9
5138	滿腹牢騷	3.6	0.652	3.5	1.732	0
5170	深仇大恨	1.6	0.652	7.2	1.643	0
5201	陷落	3.6	0.652	5.1	1.746	4
5240	不懼	5.4	0.652	5.3	0.975	5
5281	下毒	2.4	0.652	6.9	0.224	5
5301	搞鬼	3.4	0.652	4.7	1.304	0
5312	邋遢	3.6	0.652	3.3	1.857	0
5323	遼闊	5.6	0.652	3.6	1.782	39
5351	斷掉	4.4	0.652	3.8	1.304	6
5394	忌諱	3.6	0.652	4.3	0.975	22
5396	大罵	3.9	0.652	4.8	1.681	11
5397	逆行倒施	3.6	0.652	3.6	1.557	0
5405	抓傷	3.9	0.652	3.7	0.837	0
5415	橫行霸道	2.6	0.652	5.3	1.204	0
5476	淡雅	6.4	0.652	2.5	1	6
5477	淨白滑嫩	7.6	0.652	4.5	1.414	0
17	不屑	3	0.632	6	1.265	27
49	認真	7	0.632	5	1.265	287
67	吸引	6	0.632	6.2	1.327	560
68	希望	7	0.632	5.2	1.72	3365
69	忘記	4	0.632	4.6	0.49	237
79	喜歡	7	0.632	5.8	0.98	1993
100	懷念	6	0.632	5.6	1.356	114
122	賤人	2	0.632	7.8	0.98	0
124	操	2	0.632	8	0.894	58
127	壞蛋	3	0.632	6.4	1.356	12
133	仇敵	2	0.632	7.6	1.02	0
139	打斷	4	0.632	4.6	1.855	53
144	忌妒	3	0.632	6.8	0.98	8
148	坦白	6	0.632	5.6	1.02	60
152	拒絕	3	0.632	6.6	1.02	329
162	怨恨	2	0.632	7.8	0.4	26
166	鬥爭	3	0.632	7.4	0.49	156
175	閒話	4	0.632	4.4	1.356	8
181	說服	5	0.632	4.2	1.47	80
193	敵人	3	0.632	6	1.549	159
198	親切	7	0.632	5	1.549	127
203	鍾愛	7	0.632	6.6	1.497	18
210	譴責	3	0.632	7.2	0.4	47
212	歡送	6	0.632	6.2	1.166	8
216	讚美	7	0.632	5.6	1.855	66
234	才智	7	0.632	4.6	1.356	20
246	仇視	2	0.632	7.6	1.02	0
251	分心	4	0.632	4.4	2.417	14
258	厄運	3	0.632	5.8	1.47	21
278	心煩意亂	3	0.632	7.4	0.49	4
295	可笑	3	0.632	6.6	0.8	39
298	可愛	7	0.632	6.2	1.166	396
303	外向	6	0.632	5.8	1.166	9
308	失望	3	0.632	5.6	1.356	211
311	平和	7	0.632	2.8	1.72	45
317	打破	4	0.632	6.2	1.166	261
339	丟臉	3	0.632	5.8	1.6	22
340	交戰	4	0.632	7.4	0.8	18
361	安逸	6	0.632	3.4	1.497	9
364	安穩	6	0.632	2.6	1.625	19
376	有趣	7	0.632	5.6	1.497	394
385	死氣	3	0.632	5.8	1.72	0
393	自大	3	0.632	6.6	1.497	31
399	自信	7	0.632	5.6	1.02	98
418	克制	5	0.632	5	1.673	27
421	冷淡	3	0.632	3.6	0.8	28
433	坎坷	2	0.632	4.8	2.561	29
435	壯麗	7	0.632	6.4	1.744	42
436	壯觀	7	0.632	6.8	1.327	96
446	宏大	7	0.632	6	0.894	10
487	走運	7	0.632	5.8	1.327	0
500	卑劣	2	0.632	8	0.632	0
502	受不了	3	0.632	7.4	0.8	100
503	受苦	3	0.632	6	0.894	40
509	受騙	3	0.632	6.4	1.02	43
511	呵呵	6	0.632	4.6	1.855	18
531	忠	7	0.632	5.4	0.8	47
550	抱歉	4	0.632	3.8	0.98	50
555	放任	3	0.632	6.2	1.47	32
569	果斷	6	0.632	6	0.632	15
571	欣喜	7	0.632	7	0.632	24
585	空洞	4	0.632	3.2	1.166	33
586	空虛	3	0.632	4.2	1.166	50
587	花招	4	0.632	4.8	0.748	17
607	信義	7	0.632	5.4	0.8	36
631	威脅	3	0.632	7.4	0.49	195
634	帥氣	7	0.632	6	1.265	17
640	怒斥	2	0.632	8.6	0.49	0
653	恰當	6	0.632	4.2	1.47	77
679	珍惜	7	0.632	5	1.673	139
680	珍視	7	0.632	5.2	1.939	9
681	珍貴	7	0.632	5.4	1.356	174
687	美人	6	0.632	5.4	1.855	40
689	美妙	7	0.632	6.2	1.6	57
695	背叛	2	0.632	8	0.894	26
696	胡扯	3	0.632	7.6	0.49	8
697	致命	2	0.632	7.8	0.748	48
698	苛求	3	0.632	6.6	1.02	13
699	若無其事	4	0.632	4.6	1.855	9
703	英勇	7	0.632	6.6	0.8	34
712	陌生	4	0.632	3.8	1.166	123
742	恐怖	3	0.632	6.8	0.4	127
743	恐慌	3	0.632	7	0.894	60
748	恭維	5	0.632	4.6	1.356	11
755	挫折	3	0.632	5	1.897	234
756	挫敗	3	0.632	6.8	1.166	23
785	真誠	7	0.632	5	1.095	75
787	破滅	3	0.632	7	1.095	17
789	祝賀	7	0.632	6.2	1.166	27
798	紛爭	3	0.632	6.6	1.02	53
802	缺陷	3	0.632	4.6	1.855	57
821	衰敗	3	0.632	6.2	2.227	23
837	高雅	7	0.632	4	1.789	28
839	高興	7	0.632	6.6	1.02	668
846	偏愛	5	0.632	4.8	1.327	31
852	動聽	7	0.632	6.6	1.2	22
853	啜泣	3	0.632	6.8	0.748	9
881	惋惜	3	0.632	4.4	1.625	23
900	淡漠	4	0.632	2.2	1.47	6
906	混亂	3	0.632	6.4	0.8	173
932	眾怒	2	0.632	8	0.894	0
939	粗俗	3	0.632	5.6	1.497	13
948	羞辱	2	0.632	7.8	0.98	16
953	設防	5	0.632	4.8	1.939	8
967	貪圖	3	0.632	5.8	1.939	16
973	野蠻	3	0.632	6.8	0.98	18
979	麻木	4	0.632	3.2	1.6	27
997	喜氣	7	0.632	5	1.414	17
1007	喪氣	3	0.632	5	1.673	0
1028	悲情	3	0.632	5	1.265	34
1047	惡毒	2	0.632	7.4	0.49	6
1054	惡夢	3	0.632	6.8	0.748	40
1069	殘忍	2	0.632	7.8	0.748	39
1083	無能	3	0.632	6	0.894	59
1093	焦急	3	0.632	7	0.632	33
1097	痛	3	0.632	6.2	0.98	281
1106	發愁	3	0.632	6.2	1.327	7
1118	虛榮	3	0.632	6.2	1.327	21
1119	虛榮心	3	0.632	6	1.095	9
1137	債務	3	0.632	5.2	0.748	47
1142	傷心	3	0.632	6.2	1.166	134
1146	傷悲	3	0.632	6	0.894	7
1148	傷痛	3	0.632	6.6	1.02	31
1156	嫉	3	0.632	6.2	1.166	5
1157	嫌	3	0.632	5.8	1.166	146
1158	徬徨	4	0.632	4.4	1.356	30
1168	愛護	7	0.632	5.4	1.356	72
1184	敬重	7	0.632	6	0.894	29
1211	煩惱	3	0.632	6.2	1.166	119
1212	煩亂	3	0.632	7.2	1.166	0
1220	禁忌	3	0.632	5.2	1.327	74
1229	罪孽	2	0.632	7.6	0.49	0
1244	誠心	7	0.632	4.6	0.49	18
1249	過失	3	0.632	5.4	1.625	33
1251	違心	3	0.632	5.2	1.327	0
1252	違犯	3	0.632	5.2	1.166	5
1257	違背	3	0.632	4.8	1.47	73
1266	厭煩	3	0.632	5.6	1.356	30
1267	嘆	4	0.632	3.6	1.2	60
1272	對抗	4	0.632	7.2	0.4	137
1296	福氣	7	0.632	4.4	1.356	27
1306	腐臭	3	0.632	4.4	1.96	7
1320	輕鬆	6	0.632	2.2	0.748	301
1350	慶賀	7	0.632	6	0.894	17
1354	憂傷	3	0.632	5.6	1.02	20
1356	憂煩	3	0.632	5.4	0.8	0
1366	撫育	6	0.632	3.8	1.47	12
1367	敵視	3	0.632	6.6	0.49	7
1385	樂觀	7	0.632	5	0.894	171
1397	獎助	7	0.632	5.2	1.327	28
1406	獎勵	7	0.632	5.2	1.327	228
1421	輝煌	7	0.632	6.2	0.748	78
1447	擔保	5	0.632	4.8	1.6	28
1451	機敏	7	0.632	5.6	1.497	4
1452	機警	7	0.632	6.4	0.8	13
1453	機靈	7	0.632	6	1.265	9
1472	親和	7	0.632	4.4	1.625	7
1479	輸家	3	0.632	5	1.789	6
1500	優點	7	0.632	5	1.095	256
1510	濫用	3	0.632	5.6	1.625	48
1511	濫情	3	0.632	6.2	1.166	14
1521	聰明	7	0.632	4.8	2.315	248
1528	艱苦	3	0.632	6.6	0.49	69
1541	嚮往	6	0.632	5	1.549	92
1561	懷鄉	5	0.632	4.6	1.497	0
1566	辭職	4	0.632	4.8	2.04	98
1568	難堪	3	0.632	6.4	1.02	41
1569	難過	3	0.632	5.6	1.356	232
1573	願	6	0.632	5	1.673	682
1588	騷動	4	0.632	6.6	1.02	45
1596	蠢	3	0.632	5.2	1.72	8
1609	歡歡喜喜	8	0.632	6.8	1.327	9
1631	驚疑	4	0.632	7.2	0.748	0
1638	體貼	7	0.632	5.6	1.356	64
2804	錯失	3.5	0.632	6.4	0.8	35
2823	牽連	4	0.632	4.3	1.327	24
2825	苦難	3	0.632	4.6	1.02	10
2856	冷漠	4	0.632	2.8	1.166	63
2871	鬆散	4	0.632	3.2	1.503	14
2895	覬覦	4	0.632	3.9	1.114	23
2908	埋葬	4	0.632	3.5	0.632	25
2928	混沌	4	0.632	3.9	1.685	17
2942	下獄	3	0.632	5.2	1.6	0
2948	鮮豔	5.5	0.632	3.5	0.894	24
2959	率直	6	0.632	3.6	0.735	17
2961	節儉	6	0.632	2.3	0.4	16
2966	苦思	4.5	0.632	3.4	0.86	9
3003	富饒	6.5	0.632	3.5	0.894	0
3018	脫俗	6	0.632	2.9	1.114	15
3030	繁盛	6.5	0.632	4.4	0.8	0
3035	心曠神怡	6.5	0.632	3.8	1.913	9
3052	橫行	3.5	0.632	5.5	1	40
3059	遲滯	3.5	0.632	4.2	1.47	0
3118	複雜化	4	0.632	5	1.14	0
3162	拘留所	4	0.632	4.4	1.2	8
3172	群情激憤	3	0.632	8.2	0.748	9
3178	誘人	6	0.632	6.1	1.744	31
3250	剛毅	6.5	0.632	6	1.265	0
3307	暴風	3.5	0.632	6.2	1.965	0
3315	藐視	3	0.632	6.2	1.806	0
3316	糾纏	3	0.632	5.4	2.131	55
3454	達觀	5.5	0.632	3.7	0.748	0
3456	虔敬	6.5	0.632	3.6	0.97	9
3466	恆心	6.5	0.632	4.5	2.049	19
3476	忘不了	5.5	0.632	3.9	1.685	25
3482	賢人	6.5	0.632	2.7	0.98	0
3509	騰躍	7	0.632	7	0.707	0
4415	背叛者	2	0.632	8	0.894	0
4418	走好運	7	0.632	5.8	1.327	0
4420	率直地	6	0.632	3.6	0.735	0
4430	無能力	3	0.632	6	0.894	0
4431	沒能力	3	0.632	6	0.894	0
4449	違悖	3	0.632	4.8	1.47	0
4465	死氣沉沉	3	0.632	5.8	1.72	0
4466	死氣沈沈	3	0.632	5.8	1.72	4
4803	安安穩穩	6	0.632	2.6	1.625	6
1697	健康	6	0.63	4	1.26	739
1701	必要	5	0.63	5.4	1.36	471
1707	提升	6	0.63	4.8	1.17	442
1711	符合	6	0.63	3.4	1.02	579
1768	表揚	6	0.63	4.6	1.74	60
1781	學會	6	0.63	3.4	1.5	245
1784	信用	6	0.63	3.8	1.33	116
1798	重要性	5	0.63	5	1.41	193
1800	務實	6	0.63	3.6	1.36	76
1812	明白	5	0.63	3.8	1.94	355
1824	便利	6	0.63	3.4	1.02	180
1835	過關	6	0.63	5	1.67	79
1843	得獎	7	0.63	5.8	1.72	62
1851	前進	6	0.63	4.2	1.72	111
1852	聲望	6	0.63	3.8	1.47	43
1856	愉快	7	0.63	4.8	1.6	271
1867	發達	6	0.63	5	1.67	163
1892	美化	6	0.63	4.2	1.83	68
1908	精緻	6	0.63	3.4	1.02	169
1918	新鮮	6	0.63	3.8	1.6	188
1937	衛冕	6	0.63	5	1.41	21
1949	熱忱	6	0.63	4.8	1.94	27
1951	節制	5	0.63	3.6	1.5	40
1975	有名	6	0.63	4.2	1.47	238
1995	啟發	6	0.63	4.2	1.72	94
1998	禮貌	6	0.63	3.4	1.5	49
2005	調劑	5	0.63	2.8	1.33	17
2006	毅力	6	0.63	4.2	1.47	39
2007	精選	6	0.63	3.8	1.47	10
2015	風度	6	0.63	3.6	1.02	34
2025	遙遙領先	7	0.63	5.8	0.75	9
2030	可貴	6	0.63	3.6	1.36	61
2035	為榮	7	0.63	5.4	1.36	30
2042	根除	5	0.63	4.8	1.47	8
2047	永恆	6	0.63	3.8	1.47	130
2051	奠基	6	0.63	3.4	1.36	14
2053	學識	6	0.63	2.8	1.33	46
2082	善於	6	0.63	4	1.1	45
2090	完好	6	0.63	4	1.67	27
2098	堅固	6	0.63	3	1.41	40
2119	不凡	6	0.63	4.6	1.2	25
2127	貴重	6	0.63	3.8	1.6	26
2135	高歌	6	0.63	5	1.41	15
2148	感同身受	5	0.63	4.4	1.36	11
2152	可靠性	6	0.63	3.6	1.5	18
2154	正大	6	0.63	3.4	1.02	0
2156	純淨	6	0.63	3	1.1	29
2172	激昂	6	0.63	6.4	1.5	23
2184	典雅	6	0.63	3.4	1.02	34
2189	寬闊	6	0.63	3.6	1.85	35
2220	義無反顧	5	0.63	5.4	1.85	9
2226	無法	4	0.63	4	1.67	2591
2227	不會	4	0.63	4	1.79	2573
2228	不能	4	0.63	4.2	1.47	3145
2233	不要	4	0.63	4.2	1.47	2153
2246	污染	3	0.63	5	0.63	352
2250	取消	4	0.63	4.4	1.2	211
2252	不得	4	0.63	4.2	0.98	325
2268	不可	4	0.63	4.2	1.17	857
2271	失業	3	0.63	4	0.89	130
2273	事故	3	0.63	4.6	1.5	87
2277	難以	4	0.63	4.4	0.8	527
2282	起訴	3	0.63	5.4	0.49	33
2288	病人	4	0.63	3.4	1.36	616
2301	自殺	2	0.63	6	1.1	228
2307	不明	4	0.63	3.4	1.02	97
2316	遭遇	4	0.63	4.8	0.98	122
2321	不易	4	0.63	3.6	0.8	343
2324	異議	4	0.63	3.8	1.47	80
2334	罷工	4	0.63	5.4	0.8	68
2335	過度	4	0.63	5.4	1.36	150
